Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.195.59-192.168.195.136-56280-80-6,192.168.195.59,56280,192.168.195.136,80,6,24/04/2025 09:46:35 PM,97673,4,2,354,0,354,0,88.5,177,0,0,0,0,3624.338353,61.42946362,19534.6,30318.75082,69105,11,97609,32536.33333,34749.16952,69148,11,97630,97630,0,97630,97630,0,0,0,0,136,60,40.95297575,20.47648787,0,354,50.57142857,133.7994234,17902.28571,1,2,1,1,4,0,0,0,0,59,88.5,0,0,0,0,0,0,0,0,0,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,malicious
192.168.195.59-192.168.195.136-56296-80-6,192.168.195.59,56296,192.168.195.136,80,6,24/04/2025 09:46:35 PM,97704,4,2,342,0,342,0,85.5,171,0,0,0,0,3500.36846,61.40997298,19540.8,30334.74969,69106,0,97696,32565.33333,34755.03449,69159,0,97651,97651,0,97651,97651,0,0,0,0,136,60,40.93998199,20.46999099,0,342,48.85714286,129.2638498,16709.14286,1,2,1,1,4,0,0,0,0,57,85.5,0,0,0,0,0,0,0,0,0,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,malicious
192.168.195.59-192.168.195.136-56036-80-6,192.168.195.59,56036,192.168.195.136,80,6,24/04/2025 09:46:35 PM,105287,4,2,334,0,334,0,83.5,167,0,0,0,0,3172.281478,56.98709242,21057.4,19739.15718,41747,18,105269,35089.66667,6605.621949,41747,28537,105208,105208,0,105208,105208,0,0,0,0,136,60,37.99139495,18.99569747,0,334,47.71428571,126.240134,15936.57143,1,2,1,1,4,0,0,0,0,55.66666667,83.5,0,0,0,0,0,0,0,0,0,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,malicious
192.168.195.59-192.168.195.136-56300-80-6,192.168.195.59,56300,192.168.195.136,80,6,24/04/2025 09:46:35 PM,97723,4,2,348,0,348,0,87,174,0,0,0,0,3561.085927,61.39803322,19544.6,30325.43166,69095,1,97697,32565.66667,34754.56599,69159,1,97659,97659,0,97659,97659,0,0,0,0,136,60,40.93202214,20.46601107,0,348,49.71428571,131.5316366,17300.57143,1,2,1,1,4,0,0,0,0,58,87,0,0,0,0,0,0,0,0,0,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,malicious
192.168.195.59-192.168.195.136-56312-80-6,192.168.195.59,56312,192.168.195.136,80,6,24/04/2025 09:46:35 PM,97733,4,2,378,0,378,0,94.5,189,0,0,0,0,3867.680313,61.391751,19546.6,30318.70165,69086,0,97697,32565.66667,34755.56094,69160,0,97659,97659,0,97659,97659,0,0,0,0,136,60,40.927834,20.463917,0,378,54,142.8705708,20412,1,2,1,1,4,0,0,0,0,63,94.5,0,0,0,0,0,0,0,0,0,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,malicious
192.168.195.59-192.168.195.136-56078-80-6,192.168.195.59,56078,192.168.195.136,80,6,24/04/2025 09:46:35 PM,105215,3,2,0,0,0,0,0,0,0,0,0,0,0,47.5217412,26303.75,33584.03842,70266,47,105168,52584,25006.12421,70266,34902,105154,105154,0,105154,105154,0,0,0,0,104,60,28.51304472,19.00869648,0,0,0,0,0,1,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64240,0,0,32,0,0,0,0,0,0,0,0,malicious
192.168.195.59-192.168.195.136-56322-80-6,192.168.195.59,56322,192.168.195.136,80,6,24/04/2025 09:46:35 PM,97573,4,2,334,0,334,0,83.5,167,0,0,0,0,3423.078106,61.49242106,19514.6,31286.6552,71841,0,97514,32504.66667,36413.35772,71855,0,97559,97559,0,97559,97559,0,0,0,0,136,60,40.99494737,20.49747369,0,334,47.71428571,126.240134,15936.57143,1,2,1,1,4,0,0,0,0,55.66666667,83.5,0,0,0,0,0,0,0,0,0,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,malicious
192.168.195.59-192.168.195.136-56324-80-6,192.168.195.59,56324,192.168.195.136,80,6,24/04/2025 09:46:35 PM,97580,4,2,378,0,378,0,94.5,189,0,0,0,0,3873.74462,61.48800984,19516,31277.73703,71827,0,97514,32504.66667,36412.7234,71854,0,97553,97553,0,97553,97553,0,0,0,0,136,60,40.99200656,20.49600328,0,378,54,142.8705708,20412,1,2,1,1,4,0,0,0,0,63,94.5,0,0,0,0,0,0,0,0,0,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,malicious
192.168.195.59-192.168.195.136-56336-80-6,192.168.195.59,56336,192.168.195.136,80,6,24/04/2025 09:46:35 PM,97601,3,2,337,0,337,0,112.3333333,194.5670407,0,0,0,0,3452.833475,51.22898331,24400.25,33855.76682,71817,8,97593,48796.5,32609.64343,71855,25738,97563,97563,0,97563,97563,0,0,0,0,104,60,30.73738999,20.49159332,0,337,56.16666667,137.5796739,18928.16667,1,2,1,1,3,0,0,0,0,67.4,112.3333333,0,0,0,0,0,0,0,0,0,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,malicious
192.168.195.59-192.168.195.136-56332-80-6,192.168.195.59,56332,192.168.195.136,80,6,24/04/2025 09:46:35 PM,97610,4,2,334,0,334,0,83.5,167,0,0,0,0,3421.780555,61.46911177,19522,31263.05874,71806,18,97592,32530.66667,36381.4377,71854,68,97562,97562,0,97562,97562,0,0,0,0,136,60,40.97940785,20.48970392,0,334,47.71428571,126.240134,15936.57143,1,2,1,1,4,0,0,0,0,55.66666667,83.5,0,0,0,0,0,0,0,0,0,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,malicious
192.168.195.59-192.168.195.136-56370-80-6,192.168.195.59,56370,192.168.195.136,80,6,24/04/2025 09:46:35 PM,96055,4,2,360,0,360,0,90,180,0,0,0,0,3747.852793,62.46421321,19211,30660.34884,70332,0,96024,32008,35602.65456,70354,0,96033,96033,0,96033,96033,0,0,0,0,136,60,41.64280881,20.8214044,0,360,51.42857143,136.0672103,18514.28571,1,2,1,1,4,0,0,0,0,60,90,0,0,0,0,0,0,0,0,0,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,malicious
192.168.195.59-192.168.195.136-56382-80-6,192.168.195.59,56382,192.168.195.136,80,6,24/04/2025 09:46:35 PM,96070,4,2,346,0,346,0,86.5,173,0,0,0,0,3601.540543,62.45446029,19214,30661.99929,70355,1,96024,32008,35629.29479,70397,1,96028,96028,0,96028,96028,0,0,0,0,136,60,41.63630686,20.81815343,0,346,49.42857143,130.7757077,17102.28571,1,2,1,1,4,0,0,0,0,57.66666667,86.5,0,0,0,0,0,0,0,0,0,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,malicious
192.168.195.59-192.168.195.136-56388-80-6,192.168.195.59,56388,192.168.195.136,80,6,24/04/2025 09:46:35 PM,96079,4,2,381,0,381,0,95.25,190.5,0,0,0,0,3965.486735,62.44861,19215.8,30644.54271,70327,0,96023,32007.66667,35629.74396,70397,0,96009,96009,0,96009,96009,0,0,0,0,136,60,41.63240667,20.81620333,0,381,54.42857143,144.0044642,20737.28571,1,2,1,1,4,0,0,0,0,63.5,95.25,0,0,0,0,0,0,0,0,0,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,malicious
192.168.195.59-192.168.195.136-55914-80-6,192.168.195.59,55914,192.168.195.136,80,6,24/04/2025 09:46:35 PM,105561,4,2,346,0,346,0,86.5,173,0,0,0,0,3277.725675,56.83917356,21112.2,20554.72188,45901,17,105544,35181.33333,10164.9978,45901,25681,105543,105543,0,105543,105543,0,0,0,0,136,60,37.89278237,18.94639119,0,346,49.42857143,130.7757077,17102.28571,1,2,1,1,4,0,0,0,0,57.66666667,86.5,0,0,0,0,0,0,0,0,0,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,malicious
192.168.195.59-192.168.195.136-55926-80-6,192.168.195.59,55926,192.168.195.136,80,6,24/04/2025 09:46:35 PM,105576,4,2,346,0,346,0,86.5,173,0,0,0,0,3277.259983,56.83109798,21115.2,20398.53533,44792,31,105544,35181.33333,9556.469083,44792,25680,105545,105545,0,105545,105545,0,0,0,0,136,60,37.88739865,18.94369933,0,346,49.42857143,130.7757077,17102.28571,1,2,1,1,4,0,0,0,0,57.66666667,86.5,0,0,0,0,0,0,0,0,0,0,0,64240,0,1,32,0,0,0,0,0,0,0,0,malicious
