Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.195.131-192.168.195.136-52344-80-6,192.168.195.131,52344,192.168.195.136,80,6,3/5/2025 7:59,10007,3,6,160,3245,160,0,53.33333333,92.37604307,1460,0,540.8333333,715.6944646,340261.8167,899.3704407,1250.875,3225.843829,9229,2,611,305.5,53.03300859,343,268,9978,1995.6,4051.180359,9229,2,0,0,0,0,72,132,299.7901469,599.5802938,0,1460,340.5,594.6328933,353588.2778,1,2,0,4,8,0,0,0,2,378.3333333,53.33333333,540.8333333,0,0,0,3405,5,362388,0,0,0,0,64240,250,1,20,0,0,0,0,0,0,0,0,
192.168.195.136-142.250.181.163-52366-80-6,192.168.195.136,52366,142.250.181.163,80,6,3/5/2025 7:58,74108260,9,9,0,0,0,0,0,0,0,0,0,0,0,0.242887905,4359309.412,5025018.772,1.02E+07,47555,7.40E+07,9248662.25,2908758.226,1.05E+07,2053272,7.40E+07,9247930.25,2885822.337,1.06E+07,2112094,0,0,0,0,288,288,0.121443952,0.121443952,0,0,0,0,0,2,0,0,0,18,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,249,1050,0,32,114300.7143,117959.0879,375574,47555,1.02E+07,31145.84692,1.02E+07,1.01E+07,
192.168.195.131-192.168.195.136-52345-80-6,192.168.195.131,52345,192.168.195.136,80,6,3/5/2025 7:59,5957,3,6,160,3245,160,0,53.33333333,92.37604307,1460,0,540.8333333,715.6944646,571596.4412,1510.827598,744.625,1847.671271,5312,2,481,240.5,28.99137803,261,220,5931,1186.2,2313.811077,5312,2,0,0,0,0,72,132,503.6091993,1007.218399,0,1460,340.5,594.6328933,353588.2778,1,2,0,4,8,0,0,0,2,378.3333333,53.33333333,540.8333333,0,0,0,3405,5,621804,0,0,0,0,64240,250,1,20,0,0,0,0,0,0,0,0,
192.168.195.131-192.168.195.136-52346-80-6,192.168.195.131,52346,192.168.195.136,80,6,3/5/2025 7:59,5549,3,6,160,3245,160,0,53.33333333,92.37604307,1460,0,540.8333333,715.6944646,613624.0764,1621.913858,693.625,1244.180848,3679,2,1587,793.5,159.0990258,906,681,5392,1078.4,1596.506593,3679,2,0,0,0,0,72,132,540.6379528,1081.275906,0,1460,340.5,594.6328933,353588.2778,1,2,0,4,8,0,0,0,2,378.3333333,53.33333333,540.8333333,0,0,0,3405,5,859414,0,0,0,0,64240,250,1,20,0,0,0,0,0,0,0,0,
192.168.195.131-192.168.195.136-52348-80-6,192.168.195.131,52348,192.168.195.136,80,6,3/5/2025 7:59,5368,3,6,160,3245,160,0,53.33333333,92.37604307,1460,0,540.8333333,715.6944646,634314.456,1676.602086,671,1468.191404,4281,5,873,436.5,273.6503243,630,243,5263,1052.6,1832.706823,4281,5,0,0,0,0,72,132,558.8673621,1117.734724,0,1460,340.5,594.6328933,353588.2778,1,2,0,4,8,0,0,0,2,378.3333333,53.33333333,540.8333333,0,0,0,3405,5,757508,0,0,0,0,64240,250,1,20,0,0,0,0,0,0,0,0,
192.168.195.136-192.178.24.163-55774-443-6,192.168.195.136,55774,192.178.24.163,443,6,3/5/2025 7:58,53464480,5,4,102,39,39,0,20.4,19.6035711,39,0,9.75,19.5,2.637264965,0.168336062,6683060,1.88E+07,5.32E+07,1,5.34E+07,1.34E+07,2.66E+07,5.32E+07,40,5.33E+07,1.78E+07,3.08E+07,5.33E+07,1,1,0,0,0,160,140,0.093520034,0.074816027,0,39,18,19.49358869,380,2,0,0,4,9,0,0,0,0,20,20.4,9.75,0,0,0,0,0,0,5,102,4,39,249,1050,2,32,175263,0,175263,175263,5.32E+07,0,5.32E+07,5.32E+07,
192.168.195.131-192.168.195.136-52349-80-6,192.168.195.131,52349,192.168.195.136,80,6,3/5/2025 7:59,10268,3,6,160,3245,160,0,53.33333333,92.37604307,1460,0,540.8333333,715.6944646,331612.7776,876.5095442,1283.5,3268.754197,9366,3,728,364,9.899494937,371,357,10230,2046,4102.714163,9366,3,0,0,0,0,72,132,292.1698481,584.3396961,0,1460,340.5,594.6328933,353588.2778,1,2,0,4,8,0,0,0,2,378.3333333,53.33333333,540.8333333,0,0,0,3405,5,356918,0,0,0,0,64240,250,1,20,0,0,0,0,0,0,0,0,
192.168.195.136-192.178.24.234-56748-443-6,192.168.195.136,56748,192.178.24.234,443,6,3/5/2025 7:56,117963549,15,13,860,5216,517,0,57.33333333,134.9553718,2776,0,401.2307692,817.9822893,51.50743642,0.237361458,4369020.333,1.56E+07,5.88E+07,1,1.18E+08,8425967.786,2.13E+07,5.88E+07,13,1.18E+08,9825783.417,2.28E+07,5.89E+07,1,0,0,0,0,512,424,0.127157924,0.110203534,0,2776,209.5172414,571.7523578,326900.7586,0,2,0,12,27,0,0,0,0,217,57.33333333,401.2307692,0,0,0,5920,9,14886,7,430,6,2608,32120,1050,6,32,381287.5,242555.3036,552800,209775,5.86E+07,353199.1301,5.88E+07,5.83E+07,
192.168.195.136-192.178.24.234-56748-443-6,192.168.195.136,56748,192.178.24.234,443,6,3/5/2025 7:59,58117,3,1,63,0,39,0,21,19.67231557,0,0,0,0,1084.020166,68.82667722,19372.33333,30857.30995,54959,41,3158,1579,2175.060459,3117,41,0,0,0,0,0,1,0,0,0,96,32,51.62000792,17.20666931,0,39,20.4,19.6035711,384.3,2,0,0,2,4,0,0,0,0,25.5,21,0,0,0,0,0,0,0,0,0,0,0,249,1050,1,32,0,0,0,0,0,0,0,0,
192.168.195.131-192.168.195.136-52350-80-6,192.168.195.131,52350,192.168.195.136,80,6,3/5/2025 7:59,12675,4,7,160,3245,160,0,40,80,1460,0,463.5714286,684.5689294,268639.0533,867.8500986,1267.5,3662.785378,11687,3,12609,4203,6729.886552,11974,311,12637,2106.166667,4699.023321,11687,3,0,0,0,0,92,152,315.581854,552.2682446,0,1460,283.75,553.9550564,306866.2045,1,2,0,4,10,0,0,0,1,309.5454545,40,463.5714286,0,0,0,3405,5,283891,0,0,0,0,64240,250,1,20,0,0,0,0,0,0,0,0,
192.168.195.131-192.168.195.136-52351-80-6,192.168.195.131,52351,192.168.195.136,80,6,3/5/2025 7:59,8435,4,7,160,3245,160,0,40,80,1460,0,463.5714286,684.5689294,403675.163,1304.090101,843.5,2283.564234,7334,3,8331,2777,4270.392605,7708,298,8406,1401,2915.440138,7334,3,0,0,0,0,92,152,474.2145821,829.8755187,0,1460,283.75,553.9550564,306866.2045,1,2,0,4,10,0,0,0,1,309.5454545,40,463.5714286,0,0,0,3405,5,440149,0,0,0,0,64240,250,1,20,0,0,0,0,0,0,0,0,
192.168.195.131-192.168.195.136-52352-80-6,192.168.195.131,52352,192.168.195.136,80,6,3/5/2025 7:59,17645,3,6,160,3245,160,0,53.33333333,92.37604307,1460,0,540.8333333,715.6944646,192972.5135,510.0595069,2205.625,5639.250405,16156,4,912,456,325.2691193,686,226,17469,3493.8,7083.690789,16156,4,0,0,0,0,72,132,170.0198356,340.0396713,0,1460,340.5,594.6328933,353588.2778,1,2,0,4,8,0,0,0,2,378.3333333,53.33333333,540.8333333,0,0,0,3405,5,203490,0,0,0,0,64240,250,1,20,0,0,0,0,0,0,0,0,
192.168.195.131-192.168.195.136-52353-80-6,192.168.195.131,52353,192.168.195.136,80,6,3/5/2025 7:59,2966,3,6,160,3245,160,0,53.33333333,92.37604307,1460,0,540.8333333,715.6944646,1148010.789,3034.389751,370.75,723.3068406,2147,4,587,293.5,88.38834765,356,231,2855,571,900.9436719,2147,4,0,0,0,0,72,132,1011.46325,2022.9265,0,1460,340.5,594.6328933,353588.2778,1,2,0,4,8,0,0,0,2,378.3333333,53.33333333,540.8333333,0,0,0,3405,5,1431273,0,0,0,0,64240,250,1,20,0,0,0,0,0,0,0,0,
192.168.195.131-192.168.195.136-52354-80-6,192.168.195.131,52354,192.168.195.136,80,6,3/5/2025 7:59,6007,3,6,160,3245,160,0,53.33333333,92.37604307,1460,0,540.8333333,715.6944646,566838.6882,1498.252039,750.875,1715.869329,4976,2,868,434,38.18376618,461,407,5972,1194.4,2142.57609,4976,2,0,0,0,0,72,132,499.4173464,998.8346929,0,1460,340.5,594.6328933,353588.2778,1,2,0,4,8,0,0,0,2,378.3333333,53.33333333,540.8333333,0,0,0,3405,5,662580,0,0,0,0,64240,250,1,20,0,0,0,0,0,0,0,0,
